,station,date,pm25,latitude,longitude,pm25_xgb,pm25_rf,pm25_lgbm
108,Gran Melia Jakarta,2025-03-06,40.75,-6.2348,106.83,37.192745,35.48443027602302,34.325584279632494
109,Gran Melia Jakarta,2025-03-06,40.75,-6.2348,106.83,37.236668,35.36758345180088,34.183438985747095
110,INDODAX,2025-03-06,38.737500000000004,-6.21225,106.82138,34.681732,34.01159612337747,34.84475658008267
111,INDODAX,2025-03-06,38.737500000000004,-6.21225,106.82138,34.13368,34.19476969189114,34.62679686450415
112,Jakarta-Selatan-CasaGrande,2025-03-06,28.718181818181815,-6.222,106.842,34.475964,33.54538630273607,33.53620444343979
113,Jakarta-Selatan-CasaGrande,2025-03-06,28.718181818181815,-6.222,106.842,34.506405,33.57737900416057,33.38333347967566
114,Jalan Pasir Putih II,2025-03-06,25.3875,-6.12547,106.84675,24.13432,25.457059812919,24.64640865583773
115,Jalan Pasir Putih II,2025-03-06,25.3875,-6.12547,106.84675,24.13432,25.457059812919,24.64640865583773
116,Jalan Pasir Putih II,2025-03-06,25.3875,-6.12547,106.84675,24.202291,25.457059812919,24.6603766264533
117,Jalan Pasir Putih II,2025-03-06,25.3875,-6.12547,106.84675,24.202291,25.457059812919,24.6603766264533
118,Jeruk Purut,2025-03-06,37.13333333333333,-6.2842,106.8118,39.913754,38.45141550276014,36.51318364557805
119,Jeruk Purut,2025-03-06,37.13333333333333,-6.2842,106.8118,39.9728,38.259849319458,36.4675445536207
120,KRN,2025-03-06,33.476190476190474,-6.1439,106.899,31.60829,32.077760199731465,32.555913929679654
121,KRN,2025-03-06,33.476190476190474,-6.1439,106.899,31.60829,32.077760199731465,32.555913929679654
122,KRN,2025-03-06,33.476190476190474,-6.1439,106.899,31.833645,32.1035675457139,32.964042060083706
123,KRN,2025-03-06,33.476190476190474,-6.1439,106.899,31.833645,32.1035675457139,32.964042060083706
124,Kemang Dalam IX,2025-03-06,36.27777777777778,-6.2683,106.8192,39.948277,36.43397970411512,35.355831516436346
125,Kemang Dalam IX,2025-03-06,36.27777777777778,-6.2683,106.8192,40.034805,36.39160877015856,35.40070538905225
126,Kemang Timur V,2025-03-06,33.5,-6.263,106.8259,39.948277,36.43397970411512,35.355831516436346
127,Kemang Timur V,2025-03-06,33.5,-6.263,106.8259,40.034805,36.39160877015856,35.40070538905225
128,Kemang V,2025-03-06,36.294117647058826,-6.2631,106.8205,39.948277,36.43397970411512,35.355831516436346
129,Kemang V,2025-03-06,36.294117647058826,-6.2631,106.8205,40.034805,36.39160877015856,35.40070538905225
130,Kompas Gramedia,2025-03-06,31.666666666666668,-6.2098,106.7951,37.162807,35.260522921880096,35.56404725941331
131,Kompas Gramedia,2025-03-06,31.666666666666668,-6.2098,106.7951,38.516907,35.098669613732234,35.60878053509448
